dataset,size,runs,nodes,edges,area_px2,density_nodes_per_px2,avg_edge_len_px,edge_crossings,node_overlaps,edge_crossings_note,node_overlaps_note,layout_time_ms,preprocess_time_ms,end_to_end_time_ms,peak_memory_mb
A,Small,5,100,223,15398912.355555557,6.4939651379938145e-06,1246.6542074868973,1782.0,6.0,,,765.9199999809265,15.2,781.1199999809265,176.596
A,Medium,5,500,1179,259756732.80952376,1.924877921707783e-06,4795.467601896354,,30.0,skipped (edge count > 800),,6637.440000009537,29.839999961853028,6667.27999997139,179.47
A,Large,5,2000,4719,3066274349.6554146,6.522573559749336e-07,16764.915789788723,,,skipped (edge count > 800),skipped (node count > 500),62843.4,63.07999987602234,62906.47999987602,177.272
B,Small,5,100,246,18470227.568253968,5.414118457959705e-06,1443.3834673679262,2834.0,8.0,,,767.1000000476837,16.060000038146974,783.1600000858307,182.90200000000002
B,Medium,5,500,1357,412519056.25396806,1.2120652183693888e-06,6543.888905288292,,23.0,skipped (edge count > 800),,17372.499999952317,34.9,17407.39999995232,180.944
B,Large,5,2000,5479,4199566183.8666725,4.7623966677399455e-07,21995.689690921678,,,skipped (edge count > 800),skipped (node count > 500),75936.5,69.59999995231628,76006.09999995232,184.68
C,Small,5,100,271,22658618.380952377,4.4133317538929684e-06,1586.5121590191077,3233.0,9.0,,,922.8399999141693,14.87999997138977,937.7199998855591,181.194
C,Medium,5,500,1493,395413683.4792207,1.2644984756231266e-06,6418.425120584285,,19.0,skipped (edge count > 800),,6268.1050498,15.127933399999488,6283.2329832,178.56799999999998
C,Large,5,2000,6198,5307090496.969701,3.768543236905384e-07,25821.64041834548,,,skipped (edge count > 800),skipped (node count > 500),92999.66000003814,68.6,93068.26000003815,188.28
